Customer id,total_bill,tip,sex,smoker,day,time,size,Phone number
88F7B33d2bcf9f5,16.99,1.01,Female,No,Sun,Dinner,2,(971)643-6089x9160
f90cD3E76f1A9b9,10.34,1.66,Male,No,Sun,Dinner,3,+1-114-355-1841x78347
DbeAb8CcdfeFC2c,21.01,3.5,Male,No,Sun,Dinner,3,9017807728
A31Bee3c201ef58,23.68,3.31,Male,No,Sun,Dinner,2,+1-607-333-9911x59088
1bA7A3dc874da3c,24.59,3.61,Female,No,Sun,Dinner,4,3739847538
bfDD7CDEF5D865B,25.29,4.71,Male,No,Sun,Dinner,4,001-314-829-5014x1792
bE9EEf34cB72AF7,8.77,2,Male,No,Sun,Dinner,2,(314)591-7413
2EFC6A4e77FaEaC,26.88,3.12,Male,No,Sun,Dinner,4,-7199
baDcC4DeefD8dEB,15.04,1.96,Male,No,Sun,Dinner,2,166-234-6882x7457
8e4FB470FE19bF0,14.78,3.23,Male,No,Sun,Dinner,2,(389)824-3204x8287
BF0BbA03C29Bb3b,10.27,1.71,Male,No,Sun,Dinner,2,(285)029-1604x5466
F738c69fB34E62E,35.26,5,Female,No,Sun,Dinner,4,(233)811-1749x417
C03fDADdAadAdCe,15.42,1.57,Male,No,Sun,Dinner,2,(831)049-2030
b759b74BD1dE80d,18.43,3,Male,No,Sun,Dinner,4,7788378816
1F0B7D65A00DAF9,14.83,3.02,Female,No,Sun,Dinner,2,990-374-0521x33156
50Bb061cB30B461,21.58,3.92,Male,No,Sun,Dinner,2,2534420151
D6dbA5308fEC4BC,10.33,1.67,Female,No,Sun,Dinner,3,355-863-2311x6315
311D775990f066d,16.29,3.71,Male,No,Sun,Dinner,3,(566)667-8566x109
7F7E1BAcb0C9AFf,16.97,3.5,Female,No,Sun,Dinner,3,4735530004
88473e15D5c3cD0,20.65,3.35,Male,No,Sat,Dinner,3,001-940-671-0693x345
b31D271F8c200AB,17.92,4.08,Male,No,Sat,Dinner,2,4890361487
42F4BdA841aBadC,20.29,2.75,Female,No,Sat,Dinner,2,074-415-1149
cBbBcA0FCA3C4Bc,15.77,2.23,Female,No,Sat,Dinner,2,001-887-131-9735x6172
f1f89173353aD90,39.42,7.58,Male,No,Sat,Dinner,4,+1-166-565-3614x575
c5B09fb33e8bA0A,19.82,3.18,Male,No,Sat,Dinner,2,+1-188-201-3028x13440
c9F2282C40BEC1E,17.81,2.34,Male,No,Sat,Dinner,4,903.237.1120x705
9c1bc7EC53Fb7cE,13.37,2,Male,No,Sat,Dinner,2,-8222
ddEc50e2A2e3a2B,12.69,2,Male,No,Sat,Dinner,2,645.665.5931
66F096D36Ebae11,21.7,4.3,Male,No,Sat,Dinner,2,(672)634-3364
F0fE2faAd78F8b5,19.65,3,Female,No,Sat,Dinner,2,507-684-0331
5d2feAfbdCAA6B5,9.55,1.45,Male,No,Sat,Dinner,2,719.072.3811x9483
cDa5F303fCd6dEa,18.35,2.5,Male,No,Sat,Dinner,4,138-424-2414x284
8Ef7DBfcaB02b6B,15.06,3,Female,No,Sat,Dinner,2,625-325-5178
6Dec5b5542F8ed8,20.69,2.45,Female,No,Sat,Dinner,4,001-258-289-4822x430
3Fb8a7f68e12784,17.78,3.27,Male,No,Sat,Dinner,2,167.275.8072x1394
035eff50B9A0F24,24.06,3.6,Male,No,Sat,Dinner,3,001-718-046-2819x96662
aa614aAE4B7Cf0C,16.31,2,Male,No,Sat,Dinner,3,347.257.0051
ACcde95AAe3e6cC,16.93,3.07,Female,No,Sat,Dinner,3,-2151
b6a35de5CB6fc25,18.69,2.31,Male,No,Sat,Dinner,3,(828)736-9849x305
e92A191E345fA3A,31.27,5,Male,No,Sat,Dinner,3,711-766-7143
7D0AcBF6CCac3fd,16.04,2.24,Male,No,Sat,Dinner,3,571-027-5392x52373
CEFA7BBCef013AE,17.46,2.54,Male,No,Sun,Dinner,2,-7510
9edBC94aE7cA22a,13.94,3.06,Male,No,Sun,Dinner,2,+1-194-730-3308x3435
fFe7BAA737aDbe2,9.68,1.32,Male,No,Sun,Dinner,2,(361)504-1387x66414
5F2f3fAca8B0946,30.4,5.6,Male,No,Sun,Dinner,4,(633)617-1882x60906
6bFcfc3cc1BC6B4,18.29,3,Male,No,Sun,Dinner,2,049.991.7021x207
f3BD2cBF7eEb6df,22.23,5,Male,No,Sun,Dinner,2,540.583.5150x603
Ee4eB129dC7913A,32.4,6,Male,No,Sun,Dinner,4,001-824-105-7592x567
dBCEf340C3657Eb,28.55,2.05,Male,No,Sun,Dinner,3,423.672.3441x50759
E47FB71DD9ACCd9,18.04,3,Male,No,Sun,Dinner,2,001-303-890-9476x293
eA3fDd79BE9f0E7,12.54,2.5,Male,No,Sun,Dinner,2,+1-162-385-4717x6173
aF0eE4547Bc025c,10.29,2.6,Female,No,Sun,Dinner,2,371.858.0099x78932
9F5DeD7aD228F5a,34.81,5.2,Female,No,Sun,Dinner,4,048-503-7259x42036
D3Fa0220dDE4d36,9.94,1.56,Male,No,Sun,Dinner,2,986-816-4078x799
60FdBFd5e7BE8fF,25.56,4.34,Male,No,Sun,Dinner,4,(964)775-9750x8072
D8bF5Ab2b98caff,19.49,3.51,Male,No,Sun,Dinner,2,(245)876-7530
CD8d33aA25bc8BB,38.01,3,Male,Yes,Sat,Dinner,4,7198013833
Fac3BfFf0A3d03c,26.41,1.5,Female,No,Sat,Dinner,2,048-580-4571
e552D7ddafe1FFb,11.24,1.76,Male,Yes,Sat,Dinner,2,7430176893
0f8deedb629A5f6,48.27,6.73,Male,No,Sat,Dinner,4,(840)054-8816x5656
bB9e49E506F65ed,20.29,3.21,Male,Yes,Sat,Dinner,2,366.024.6617
Ed724605A403D91,13.81,2,Male,Yes,Sat,Dinner,2,(236)336-4342
0aBE5ACb18E0c10,11.02,1.98,Male,Yes,Sat,Dinner,2,+1-930-513-0910x410
5D2cb63CaAF53f6,18.29,3.76,Male,Yes,Sat,Dinner,4,(000)637-3788
Ee6974f90eeCe18,17.59,2.64,Male,No,Sat,Dinner,3,641-340-3192x7669
cEf02C076afa07f,20.08,3.15,Male,No,Sat,Dinner,3,150-528-7831x7206
